time (seconds),encoderLeft (meters),encoderRight (meters)
1569.605,77.00560760498047,78.79060363769531
1569.701,77.00560760498047,78.79060363769531
1569.799,77.00560760498047,78.79060363769531
1569.899,77.00560760498047,78.79060363769531
1570.001,77.00560760498047,78.79060363769531
1570.102,77.00560760498047,78.79060363769531
1570.201,77.00560760498047,78.79060363769531
1570.295,77.00560760498047,78.79060363769531
1570.398,77.00560760498047,78.79060363769531
1570.497,77.00560760498047,78.79060363769531
1570.601,77.00560760498047,78.79060363769531
1570.7,77.00560760498047,78.79060363769531
1570.802,77.00560760498047,78.79060363769531
1570.902,77.00560760498047,78.79060363769531
1571,77.00560760498047,78.79060363769531
1571.098,77.00560760498047,78.79060363769531
1571.2,77.00560760498047,78.79060363769531
1571.299,77.00560760498047,78.79060363769531
1571.393,77.00560760498047,78.79060363769531
1571.498,77.00560760498047,78.79060363769531
1571.6,77.00560760498047,78.79060363769531
1571.707,77.00560760498047,78.79060363769531
1571.8,77.00560760498047,78.79060363769531
1571.901,77.00560760498047,78.79060363769531
1572.001,77.00560760498047,78.79060363769531
1572.094,77.00560760498047,78.79060363769531
1572.202,77.00560760498047,78.79060363769531
1572.299,77.00560760498047,78.79060363769531
1572.401,77.00560760498047,78.79060363769531
1572.493,77.00560760498047,78.79060363769531
1572.601,77.00560760498047,78.79060363769531
1572.689,77.00560760498047,78.79060363769531
1572.796,77.00560760498047,78.79060363769531
1572.901,77.00560760498047,78.79060363769531
1572.996,77.00560760498047,78.79060363769531
1573.099,77.00560760498047,78.79060363769531
1573.198,77.00560760498047,78.79060363769531
1573.298,77.00560760498047,78.79060363769531
1573.396,77.00560760498047,78.79060363769531
1573.507,77.00560760498047,78.79060363769531
1573.601,77.00560760498047,78.79060363769531
1573.7,77.00560760498047,78.79060363769531
1573.8,77.00560760498047,78.79060363769531
1573.901,77.00560760498047,78.79060363769531
1573.995,77.00560760498047,78.79060363769531
1574.101,77.00560760498047,78.79060363769531
1574.198,77.00560760498047,78.79060363769531
1574.302,77.00560760498047,78.79060363769531
1574.4,77.00560760498047,78.79060363769531
1574.502,77.00560760498047,78.79060363769531
1574.61,77.00560760498047,78.79060363769531
1574.699,77.00560760498047,78.79060363769531
1574.8,77.00560760498047,78.79060363769531
1574.901,77.00560760498047,78.79060363769531
1574.99,77.00560760498047,78.79060363769531
1575.094,77.00560760498047,78.79059600830078
1575.199,77.00560760498047,78.79059600830078
1575.299,77.00560760498047,78.79059600830078
1575.395,77.00559997558594,78.79059600830078
1575.491,77.00559997558594,78.79059600830078
1575.594,77.00559997558594,78.79058837890625
1575.703,77.00559997558594,78.79058837890625
1575.799,77.04602813720703,78.84351348876953
1575.901,77.09243774414062,78.90040588378906
1576.006,77.14159393310547,78.95909881591797
1576.101,77.19432067871094,79.02027893066406
1576.198,77.24949645996094,79.08326721191406
1576.301,77.30703735351562,79.1480484008789
1576.401,77.36721801757812,79.21490478515625
1576.508,77.43034362792969,79.28414916992188
1576.601,77.49932098388672,79.35832214355469
1576.703,77.57080078125,79.43468475341797
1576.802,77.64448547363281,79.51300811767578
1576.897,77.72026062011719,79.59321594238281
1577.002,77.7977294921875,79.67498016357422
1577.098,77.87630462646484,79.75776672363281
1577.198,77.9559326171875,79.84154510498047
1577.304,78.03668212890625,79.92639923095703
1577.401,78.11890411376953,80.0126953125
1577.511,78.2015609741211,80.09944152832031
1577.604,78.28457641601562,80.18657684326172
1577.7,78.36799621582031,80.27417755126953
1577.802,78.45156860351562,80.36200714111328
1577.901,78.53491973876953,80.44984436035156
1578.003,78.61785888671875,80.53742980957031
1578.101,78.70032501220703,80.62470245361328
1578.202,78.7815933227539,80.71112823486328
1578.302,78.86286163330078,80.79755401611328
1578.401,78.94358825683594,80.88358306884766
1578.503,79.02166748046875,80.96764373779297
1578.593,79.09884643554688,81.0510482788086
1578.7,79.176025390625,81.13445281982422
1578.8,79.2518081665039,81.2168197631836
1578.908,79.32260131835938,81.29559326171875
1579.001,79.39159393310547,81.37311553955078
1579.101,79.45912170410156,81.44963073730469
1579.202,79.52455139160156,81.52474975585938
1579.302,79.58844757080078,81.59886932373047
1579.406,79.64793395996094,81.6702651977539
1579.5,79.70574951171875,81.74068450927734
1579.6,79.76241302490234,81.81045532226562
1579.701,79.81488037109375,81.8780288696289
1579.793,79.86734771728516,81.94560241699219
1579.906,79.91694641113281,82.01184844970703
1580.006,79.96495056152344,82.07742309570312
1580.102,80.01203155517578,82.14264678955078
1580.197,80.05774688720703,82.20741271972656
1580.298,80.10346984863281,82.27218627929688
1580.398,80.14895629882812,82.33706665039062
1580.495,80.19445037841797,82.4019546508789
1580.594,80.2403564453125,82.46707916259766
1580.7,80.28773498535156,82.5329818725586
1580.789,80.33932495117188,82.60106658935547
1580.899,80.39224243164062,82.66988372802734
1581,80.4472427368164,82.73986053466797
1581.101,80.5049057006836,82.81139373779297
1581.198,80.56782531738281,82.88621520996094
1581.3,80.63201904296875,82.96186828613281
1581.396,80.70108795166016,83.04083251953125
1581.498,80.77143859863281,83.12069702148438
1581.599,80.84513092041016,83.20296478271484
1581.701,80.92303466796875,83.28836822509766
1581.801,81.00202178955078,83.37459564208984
1581.901,81.08378601074219,83.46295166015625
1582.005,81.17202758789062,83.5564193725586
1582.101,81.26122283935547,83.65065002441406
1582.2,81.35271453857422,83.74673461914062
1582.301,81.44617462158203,83.84442138671875
1582.401,81.54391479492188,83.94561004638672
1582.501,81.64353942871094,84.04835510253906
1582.596,81.74609375,84.15351104736328
1582.701,81.85098266601562,84.26058197021484
1582.802,81.9573974609375,84.36888885498047
1582.901,82.06488800048828,84.47807312011719
1583.001,82.17481231689453,84.58918762207031
1583.102,82.28545379638672,84.70085906982422
1583.201,82.39659118652344,84.81290435791016
1583.3,82.5096664428711,84.92634582519531
1583.4,82.62374114990234,85.0404052734375
1583.501,82.73825073242188,85.15467834472656
1583.602,82.85296630859375,85.26900482177734
1583.699,82.96797180175781,85.3832778930664
1583.8,83.08302307128906,85.49744415283203
1583.901,83.19783782958984,85.61090850830078
1584.008,83.31216430664062,85.72350311279297
1584.096,83.42621612548828,85.83568572998047
1584.201,83.54017639160156,85.94772338867188
1584.302,83.6528091430664,86.0578842163086
1584.401,83.76465606689453,86.16698455810547
1584.504,83.87484741210938,86.2739028930664
1584.615,83.98429870605469,86.37987518310547
1584.701,84.09325408935547,86.48521423339844
1584.799,84.20067596435547,86.58857727050781
1584.901,84.3069076538086,86.69044494628906
1584.998,84.4087905883789,86.78675079345703
1585.102,84.50914764404297,86.88108825683594
1585.201,84.60777282714844,86.97319030761719
1585.301,84.70458984375,87.06291961669922
1585.391,84.80139923095703,87.15264892578125
1585.498,84.89498138427734,87.23808288574219
1585.601,84.9861068725586,87.3201675415039
1585.7,85.07563781738281,87.4000473022461
1585.801,85.16468048095703,87.4792251586914
1585.901,85.25234985351562,87.55647277832031
1585.999,85.3381576538086,87.6310043334961
1586.098,85.42257690429688,87.70349884033203
1586.198,85.50579071044922,87.774169921875
1586.291,85.58765411376953,87.84278869628906
1586.391,85.66818237304688,87.90933227539062
1586.497,85.74842834472656,87.9754409790039
1586.601,85.8281478881836,88.0407485961914
1586.689,85.90740203857422,88.10538482666016
1586.796,85.98665618896484,88.17002868652344
1586.901,86.06565856933594,88.23450469970703
1587.001,86.14495849609375,88.2996597290039
1587.101,86.22453308105469,88.36538696289062
1587.209,86.30493927001953,88.43266296386719
1587.298,86.38565826416016,88.50050354003906
1587.401,86.46705627441406,88.56952667236328
1587.498,86.54971313476562,88.64068603515625
1587.59,86.63290405273438,88.71273040771484
1587.695,86.7174301147461,88.78691864013672
1587.801,86.80245208740234,88.86188507080078
1587.901,86.88923645019531,88.9395523071289
1588.001,86.97724151611328,89.01905059814453
1588.089,87.06651306152344,89.10043334960938
1588.2,87.15733337402344,89.18406677246094
1588.3,87.24919891357422,89.26922607421875
1588.4,87.34208679199219,89.35585021972656
1588.502,87.43611907958984,89.44416046142578
1588.602,87.53050994873047,89.53298950195312
1588.702,87.62577819824219,89.62315368652344
1588.8,87.72183227539062,89.71455383300781
1588.901,87.81816864013672,89.80645751953125
1589,87.91480255126953,89.89893341064453
1589.1,88.01153564453125,89.99169158935547
1589.2,88.10829162597656,90.08467864990234
1589.302,88.20497131347656,90.17778778076172
1589.4,88.3011703491211,90.270751953125
1589.501,88.39736938476562,90.36371612548828
1589.602,88.4921875,90.45569610595703
1589.698,88.58597564697266,90.54683685302734
1589.8,88.6793212890625,90.63758850097656
1589.9,88.77155303955078,90.72736358642578
1590,88.86176300048828,90.8153076171875
1590.101,88.94984436035156,90.90127563476562
1590.201,89.03639221191406,90.98579406738281
1590.301,89.12007904052734,91.06759643554688
1590.396,89.20222473144531,91.14791870117188
1590.502,89.28106689453125,91.22503662109375
1590.601,89.35615539550781,91.29850006103516
1590.701,89.42792510986328,91.36869812011719
1590.801,89.49847412109375,91.43770599365234
1590.901,89.56784057617188,91.50554656982422
1591.007,89.63385772705078,91.57006072998047
1591.101,89.6964111328125,91.63113403320312
1591.199,89.7562484741211,91.68948364257812
1591.301,89.80679321289062,91.73844146728516
1591.402,89.85372161865234,91.78368377685547
1591.499,89.89659118652344,91.82469177246094
1591.6,89.93748474121094,91.86361694335938
1591.701,89.9756088256836,91.89956665039062
1591.801,89.9758071899414,91.89974212646484
1591.9,89.9758071899414,91.89974212646484
1591.998,89.97583770751953,91.89977264404297
1592.097,89.97583770751953,91.89976501464844
1592.201,89.97583770751953,91.89976501464844
1592.304,89.97583770751953,91.89976501464844
1592.401,89.97583770751953,91.89976501464844
1592.501,89.97583770751953,91.89976501464844
1592.6,89.97583770751953,91.89976501464844
1592.701,89.97583770751953,91.89976501464844
1592.801,89.97583770751953,91.89976501464844
1592.901,89.97583770751953,91.89976501464844
1593.001,89.97583770751953,91.89976501464844
1593.098,89.97583770751953,91.89976501464844
1593.2,89.97583770751953,91.89976501464844
1593.301,89.97583770751953,91.89976501464844
1593.399,89.97583770751953,91.89976501464844
1593.504,89.97583770751953,91.89976501464844
1593.6,89.97583770751953,91.89976501464844
1593.694,89.97583770751953,91.89976501464844
1593.797,89.97583770751953,91.89976501464844
1593.899,89.97583770751953,91.89976501464844
1593.999,89.97583770751953,91.89976501464844
1594.101,89.97583770751953,91.89976501464844
1594.196,89.97583770751953,91.89976501464844
1594.301,89.97583770751953,91.89976501464844
1594.407,89.97583770751953,91.89976501464844
1594.5,89.97583770751953,91.89976501464844
1594.599,89.97583770751953,91.89976501464844
1594.699,89.97583770751953,91.89976501464844
1594.8,89.97583770751953,91.89976501464844
1594.901,89.97583770751953,91.89976501464844
1594.998,89.97583770751953,91.89976501464844
1595.101,89.97583770751953,91.89976501464844
1595.201,89.97583770751953,91.89976501464844
1595.301,89.97583770751953,91.89976501464844
1595.398,89.97583770751953,91.89976501464844
1595.494,89.97583770751953,91.89976501464844
1595.601,89.97583770751953,91.89976501464844
1595.695,89.97583770751953,91.89976501464844
1595.799,89.97583770751953,91.89976501464844
1595.901,89.97583770751953,91.89976501464844
1596.001,89.97583770751953,91.89976501464844
1596.1,89.97583770751953,91.89976501464844
1596.199,89.97583770751953,91.89976501464844
1596.303,89.97583770751953,91.89976501464844
1596.398,89.97583770751953,91.89976501464844
1596.501,89.97583770751953,91.89976501464844
1596.593,89.97583770751953,91.89976501464844
1596.699,89.97583770751953,91.89976501464844
1596.801,89.97583770751953,91.89976501464844
1596.901,89.97583770751953,91.89976501464844
1597.001,89.97583770751953,91.89976501464844
1597.099,89.97583770751953,91.89976501464844
1597.201,89.97583770751953,91.89976501464844
1597.297,89.97583770751953,91.89976501464844
1597.4,89.97583770751953,91.89976501464844
1597.497,89.97583770751953,91.89976501464844
1597.598,89.97583770751953,91.89976501464844
1597.701,89.97583770751953,91.89976501464844
1597.8,89.97583770751953,91.89976501464844
1597.902,89.97583770751953,91.89976501464844
1598.001,89.97583770751953,91.89976501464844
1598.101,89.97583770751953,91.89976501464844
1598.197,89.97583770751953,91.89976501464844
1598.301,89.97583770751953,91.89976501464844
1598.402,89.97583770751953,91.89976501464844
1598.499,89.97583770751953,91.89976501464844
1598.603,89.97583770751953,91.89976501464844
1598.699,89.97583770751953,91.89976501464844
1598.801,89.97583770751953,91.89976501464844
1598.9,89.97583770751953,91.89976501464844
1599.002,89.97583770751953,91.89976501464844
1599.098,89.97583770751953,91.89976501464844
1599.2,89.97583770751953,91.89976501464844
1599.301,89.97583770751953,91.89976501464844
1599.401,89.97583770751953,91.89976501464844
1599.501,89.97583770751953,91.89976501464844
1599.601,89.97583770751953,91.89976501464844
1599.7,89.97583770751953,91.89976501464844
1599.8,89.97583770751953,91.89976501464844
1599.9,89.97583770751953,91.89976501464844
1599.997,89.97583770751953,91.89976501464844
1600.1,89.97583770751953,91.89976501464844
1600.201,89.97583770751953,91.89976501464844
1600.296,89.97583770751953,91.89976501464844
1600.4,89.97583770751953,91.89976501464844
1600.507,89.97583770751953,91.89976501464844
1600.598,89.97583770751953,91.89976501464844
1600.694,89.97583770751953,91.89976501464844
1600.802,89.97583770751953,91.89976501464844
1600.898,89.97583770751953,91.89976501464844
1600.995,89.97583770751953,91.89976501464844
1601.102,89.97583770751953,91.89976501464844
1601.197,89.97583770751953,91.89976501464844
1601.3,89.97583770751953,91.89976501464844
1601.401,89.97583770751953,91.89976501464844
1601.501,89.97583770751953,91.89976501464844
1601.601,89.97583770751953,91.89976501464844
1601.701,89.97583770751953,91.89976501464844
1601.8,89.97583770751953,91.89976501464844
1601.902,89.97583770751953,91.89976501464844
1602.008,89.97583770751953,91.89976501464844
1602.095,89.97583770751953,91.89976501464844
1602.199,89.97583770751953,91.89976501464844
1602.299,89.97583770751953,91.89976501464844
1602.401,89.97583770751953,91.89976501464844
1602.501,89.97583770751953,91.89976501464844
1602.6,89.97583770751953,91.89976501464844
1602.7,89.97583770751953,91.89976501464844
